ResponseId,BA.Pre.Question,Ca.Pre.Question,Fa.Pre.Question,Ea.Pre.Question,AA.Question,Da.Question,TiredBlocked,MentallyExhaustingBlocked,DifficultBlocked,BoringBlocked,RememberAnswersBlocked,MemoryAnswersBlocked,HelpingToLearnBlocked,LearnAnswersBlocked,ClassStructureBlocked,FamiliarBlocked,NewBlocked,StudyHabitsBlocked,TiredInterleaved,MentallyExhaustingInterleaved,DifficultInterleaved,BoringInterleaved,RememberAnswersInterleaved,MemoryAnswersInterleaved,HelpingToLearnInterleaved,LearnAnswersInterleaved,ClassStructureInterleaved,FamiliarInterleaved,NewInterleaved,StudyHabitsInterleaved,CompareMentalEffort,CompareRememberAnswers,CompareEffectiveYou,CompareEffectiveAveragePerson,CompareHarderForOthers,CompareYouStudyFuture,CompareEnjoyable,CompareHarder,CompareClassStructure,CompareFamiliar,CompareNewer,CompareMatchHabits,ChooseActivity,Gender,Age,HispanicLatino,Race,NativeLang,Edu,id
R_3lKCaeddAgVK5B5,Jay / Magpie,Oriole,Wood Warbler,Tyrant flycatcher,Finch,Sparrow,1,1,1,4,3,4,3,3,1,1,1,1,1,1,1,4,3,4,3,3,1,1,2,1,6,1,1,1,6,1,1,6,1,1,6,4,Blocked,Female,18-24,No,Black,English,High school diploma,31147
R_b3dylQahe47vDEJ,Finch,Oriole,Wood Warbler,Tyrant flycatcher,Finch,Sparrow,2,2,2,4,5,4,4,5,4,3,2,3,5,5,5,5,4,3,3,3,4,4,5,4,5,1,2,2,5,1,2,6,5,4,2,4,Blocked,Male,18-24,No,White,English,High school diploma,31121
R_OedHE1xZYRoFG6Z,Finch,Oriole,Wood Warbler,Sparrow,Finch,Sparrow,4,4,2,4,3,4,3,5,4,4,5,4,6,6,5,4,2,3,3,3,5,2,3,4,6,1,1,1,6,1,1,6,3,3,5,3,Blocked,Female,18-24,No,Asian,English,Some college,30515
R_1FOZZS0whFgycqP,Finch,Oriole,Wood Warbler,Tyrant flycatcher,Finch,Sparrow,2,2,2,3,4,3,5,4,2,3,2,3,4,3,3,3,3,3,3,2,4,3,4,4,5,5,3,1,6,2,2,4,4,4,3,4,Interleaved,Male,18-24,No,Asian and White,English,High school diploma,14926
R_3lrghperLovXAuU,Finch,Oriole,Sparrow,Sparrow,Finch,Sparrow,1,1,2,1,3,3,4,3,4,4,5,3,1,1,1,2,2,2,2,2,3,3,5,2,6,1,1,1,6,1,1,6,1,1,6,1,Blocked,Female,18-24,No,White,English,Some college,31026
R_yJeHmzL1XCPRQzv,Jay / Magpie,Finch,Sparrow,Sparrow,Finch,Sparrow,3,4,3,3,2,4,3,3,2,1,4,2,5,6,5,3,2,2,2,2,3,1,2,1,6,1,2,2,5,2,3,5,2,2,5,2,Blocked,Male,35-44,No,White,English,Some college,30495
R_3McFLX2Z2v75hy1,Jay / Magpie,Oriole,Wood Warbler,Tyrant flycatcher,Finch,Sparrow,4,2,2,4,4,4,5,5,2,3,4,3,4,4,4,6,3,3,3,4,2,2,5,2,6,3,2,2,4,2,3,5,2,3,4,2,Blocked,Male,18-24,No,White,English,Some college,30576
R_1joAJm4d98rVFti,Finch,Oriole,Sparrow,Sparrow,Jay / Magpie,Wood Warbler,2,2,4,4,2,1,3,3,4,6,3,3,4,3,5,5,2,2,2,3,3,4,5,3,6,2,3,2,5,2,2,5,3,3,5,2,Blocked,Female,18-24,No,White,English,Some college,31464
R_1qg4J5lABHak7by,Jay / Magpie,Oriole,Wood Warbler,Sparrow,Finch,Sparrow,1,3,1,3,4,3,4,3,2,3,2,1,3,2,1,2,3,3,4,4,2,3,4,4,2,4,5,2,5,5,6,1,2,6,1,6,Interleaved,Male,18-24,No,White,English,Some college,30409
R_BWZ3SnHVTcAU3pn,Finch,Oriole,Sparrow,Wood Warbler,Finch,Sparrow,6,5,2,5,4,4,4,3,5,5,2,3,6,6,6,6,1,3,3,2,5,4,3,3,6,2,1,2,5,2,2,6,5,2,3,2,Blocked,Female,18-24,Yes,American Indian or Alaska Native,English,High school diploma,30944
R_331OkcFIBWG2ibk,Oriole,Jay / Magpie,Sparrow,Sparrow,Oriole,Sparrow,3,3,4,2,2,2,2,2,2,1,2,2,2,2,3,2,2,2,3,2,2,1,3,2,2,1,1,1,1,1,1,6,1,1,6,1,Blocked,Female,18-24,No,Asian,Chinese,High school diploma,31460
R_vvEr1bOTF4IPnYB,Oriole,Oriole,Wood Warbler,Tyrant flycatcher,Finch,Sparrow,2,4,4,2,4,4,4,4,2,2,2,2,2,3,3,2,5,5,5,5,2,2,3,2,5,5,5,3,4,5,5,4,2,2,5,3,Interleaved,Male,18-24,No,White,English,High school diploma,31167
R_3Em9IqjM546FXKh,Jay / Magpie,Oriole,Sparrow,Tyrant flycatcher,Finch,Sparrow,2,2,1,2,3,3,2,2,2,1,1,2,1,1,4,4,2,1,1,1,1,1,6,1,5,1,1,1,6,1,1,6,1,1,6,1,Blocked,Male,18-24,No,White,English,Some college,30911
R_25T4eUaVlXShhsV,Finch,Oriole,Sparrow,Tyrant flycatcher,Finch,Sparrow,3,2,2,5,3,3,4,3,5,4,4,5,3,4,4,6,2,1,2,2,4,2,4,4,6,2,2,1,6,1,1,6,5,2,3,4,Blocked,Male,18-24,No,Asian,English,High school diploma,31052
R_3dQWeWLkFmIuOsh,Jay / Magpie,Oriole,Wood Warbler,Tyrant flycatcher,Oriole,Wood Warbler,2,2,2,3,4,4,4,4,4,5,5,5,5,5,5,4,3,2,2,2,2,2,3,2,6,1,1,1,6,1,1,6,2,1,6,1,Blocked,Female,18-24,No,White,English,Some college,30420
R_3fPh0iPifoouexV,Finch,Oriole,Sparrow,Tyrant flycatcher,Finch,Sparrow,1,1,1,6,4,4,6,5,4,2,3,3,4,3,3,5,4,4,4,4,2,2,5,2,6,1,1,1,6,1,1,6,1,1,5,4,Blocked,Female,18-24,No,White,English,Some college,30551
R_3fTWgXknKDkvXd3,Jay / Magpie,Oriole,Wood Warbler,Tyrant flycatcher,Finch,Sparrow,1,1,1,3,5,5,5,5,5,5,5,4,4,2,4,4,2,2,2,2,3,2,3,2,6,1,1,1,6,1,2,6,3,2,4,2,Blocked,Female,18-24,No,White,English,Some college,31112
R_2cc1J3buGCFwHuk,Finch,Oriole,Sparrow,Wood Warbler,Finch,Tyrant flycatcher,6,4,2,6,4,5,4,6,3,6,3,5,3,3,4,4,3,2,3,3,4,4,5,4,6,1,1,1,6,1,6,6,6,1,1,1,Blocked,Male,18-24,No,White,English,Some college,30577
R_3lQPqHArMD1qg5v,Oriole,Oriole,Sparrow,Tyrant flycatcher,Finch,Sparrow,6,5,5,4,1,3,3,3,4,4,1,4,4,5,6,5,5,4,4,4,5,4,4,4,6,2,3,2,5,3,6,5,3,3,5,3,Blocked,Female,18-24,DTS,Asian,DTS,Some high school,31480
R_2YxoCbzHuuuIVuO,Jay / Magpie,Oriole,Wood Warbler,Sparrow,Finch,Sparrow,1,1,1,3,5,5,5,5,3,2,3,2,1,1,3,3,3,4,2,2,2,1,3,1,5,1,1,1,6,1,1,6,2,2,5,2,Blocked,Female,18-24,No,White,English,Some college,30459
R_2Ec5VHOEiKt2F0f,Jay / Magpie,Oriole,Sparrow,Sparrow,Finch,Sparrow,6,6,1,5,2,2,3,1,1,1,1,1,6,6,6,6,2,1,1,1,1,1,2,1,6,1,1,1,6,1,1,6,1,1,6,1,Blocked,Female,18-24,No,Asian,English and Tamil,High school diploma,31136
R_RQtqH3xtGf2krGV,Finch,Oriole,Wood Warbler,Tyrant flycatcher,Finch,Wood Warbler,3,3,3,2,5,4,4,5,2,2,2,2,4,4,2,2,3,3,4,4,3,1,2,2,6,1,1,1,6,1,1,6,2,1,5,3,Blocked,Male,18-24,No,White,English and Russian,High school diploma,31003
R_1rIWmzPfzFsow8m,Jay / Magpie,Oriole,Sparrow,Tyrant flycatcher,Finch,Sparrow,3,2,1,4,5,4,4,4,3,3,3,3,3,3,3,4,3,3,2,3,2,3,5,3,5,2,2,3,5,2,2,5,3,4,2,4,Blocked,Female,18-24,No,White,English,Some college,31172
R_559ZEaEpbTFSDPX,Jay / Magpie,Oriole,Sparrow,Tyrant flycatcher,Finch,Sparrow,4,4,4,4,2,4,4,5,2,3,3,3,5,4,4,4,4,4,3,3,3,3,4,4,5,2,2,2,6,2,2,5,2,2,5,2,Blocked,Male,18-24,No,White,English,Some college,30592
R_1o1LBIBWeDDgpT6,Oriole,Finch,Wood Warbler,Tyrant flycatcher,Finch,Sparrow,4,4,2,4,5,5,5,4,4,5,3,4,5,5,5,4,4,4,5,4,4,4,4,4,5,5,6,5,3,6,4,3,4,2,4,3,Interleaved,Female,18-24,No,White,English,Some college,31067
R_XXP0kcd1h4WyCRP,Oriole,Oriole,Wood Warbler,Tyrant flycatcher,Finch,Tyrant flycatcher,3,1,2,6,2,2,2,2,2,2,3,1,5,5,4,6,2,2,1,1,1,1,3,1,5,2,1,1,6,3,1,6,3,3,4,3,Blocked,Male,18-24,No,White,English,Some college,30943
R_3EintrKNfy9IOJ2,Finch,Finch,Sparrow,Tyrant flycatcher,Finch,Sparrow,4,4,4,5,4,5,5,4,3,2,3,3,5,5,5,6,4,4,4,3,3,2,3,3,1,1,1,2,6,1,2,5,3,3,4,3,Blocked,Female,18-24,No,White,English,Some college,31524
R_1dMHXZzBEkbobYI,Jay / Magpie,Oriole,Wood Warbler,Tyrant flycatcher,Finch,Sparrow,1,4,1,6,3,3,2,3,4,5,5,3,2,4,2,3,4,4,4,4,1,2,3,4,2,5,5,4,2,5,5,2,2,5,2,5,Interleaved,Female,18-24,No,White,English,Some college,31001
R_1gd7rtbZX218Xy1,Finch,Oriole,Tyrant flycatcher,Tyrant flycatcher,Jay / Magpie,Sparrow,4,4,2,6,2,2,1,1,4,3,4,4,5,5,3,6,2,3,2,2,3,3,4,3,2,6,6,4,2,6,6,1,1,1,6,2,Interleaved,Male,18-24,No,White,English,Some college,31491
R_0lA9TTBYdTmGMhz,Jay / Magpie,Oriole,Sparrow,Tyrant flycatcher,Finch,Sparrow,2,1,1,3,5,4,4,4,2,1,1,1,3,2,3,3,3,4,2,3,1,1,2,1,6,2,2,2,5,2,3,5,3,3,4,3,Blocked,Male,18-24,No,Black  and White,English,Some college,30607
R_2P89rZkKzEE4ysC,Jay / Magpie,Oriole,Sparrow,Sparrow,Finch,Sparrow,6,5,6,6,3,3,2,2,3,1,5,3,6,6,6,6,1,1,1,1,1,1,6,1,6,1,1,1,6,1,1,6,1,1,6,1,Blocked,Male,18-24,No,Asian,Chinese,Some college,30956
R_3dFaS0IUYaxXvML,Finch,Oriole,Tyrant flycatcher,Tyrant flycatcher,Finch,Sparrow,5,4,1,6,2,5,3,4,5,1,1,4,4,3,1,6,4,4,4,3,2,2,4,4,5,2,2,3,6,1,4,6,3,2,5,3,Blocked,Male,18-24,No,White,English,High school diploma,31498
R_2Yc8gl6Q6f3CqrJ,Finch,Oriole,Sparrow,Sparrow,Finch,Tyrant flycatcher,1,1,1,1,4,2,3,3,2,3,4,4,1,1,1,2,3,4,3,4,3,3,5,3,6,6,6,6,6,6,6,6,6,6,5,6,Interleaved,Male,18-24,No,Black,English,Some college,31126
R_2uWjKrGVTdCQV9A,Oriole,Finch,Sparrow,Sparrow,Finch,Sparrow,4,4,5,2,4,2,2,2,3,2,3,4,6,5,5,3,1,2,2,2,3,3,4,4,5,2,1,1,6,1,1,6,4,4,3,4,Blocked,Male,18-24,No,Asian,English,Some college,31488
R_3nuecHQsRF0eIRC,Finch,Oriole,Wood Warbler,Sparrow,Finch,Tyrant flycatcher,3,4,4,4,3,3,4,4,2,1,2,1,5,6,5,2,2,2,2,2,1,1,2,1,6,1,1,2,5,1,1,6,2,2,6,1,Blocked,Male,18-24,No,White,English,Some college,30951
R_2Yx1nq1PYhP6i4E,Jay / Magpie,Finch,Tyrant flycatcher,Tyrant flycatcher,Oriole,Sparrow,2,2,2,3,4,3,2,2,4,4,6,3,4,4,3,4,3,3,2,1,3,3,4,3,6,1,2,1,6,1,1,6,1,1,6,1,Blocked,Female,18-24,No,"American Indian or Alaska Native, Black, and White",English,Some college,31080
R_8IdybhHGRBCLLOh,Jay / Magpie,Finch,Sparrow,Tyrant flycatcher,Finch,Sparrow,2,2,2,4,5,5,4,4,4,4,5,2,2,3,2,3,2,2,3,3,3,3,5,3,5,2,2,2,5,2,2,5,2,2,5,2,Blocked,Female,18-24,No,White,English,Some college,30602
R_238Mk7hMKu7Cry7,Jay / Magpie,Oriole,Sparrow,Tyrant flycatcher,Finch,Wood Warbler,1,2,2,2,4,4,4,4,2,2,3,4,4,4,4,2,4,3,2,4,2,1,3,3,6,5,5,2,6,5,5,5,1,5,3,5,Interleaved,Male,18-24,No,Asian,English and Urdu,High school diploma,31150
R_1q3Rx9duFLmP0XI,Jay / Magpie,Oriole,Wood Warbler,Tyrant flycatcher,Finch,Sparrow,2,2,2,3,4,4,4,3,2,4,5,3,5,5,5,2,3,3,2,3,3,2,3,1,6,1,2,2,6,1,2,5,4,3,5,3,Blocked,Female,18-24,No,White,English,High school diploma,31479
R_1Lc9UlvL5Xe6xMV,Jay / Magpie,Finch,Wood Warbler,Tyrant flycatcher,Finch,Wood Warbler,3,2,3,4,3,3,3,3,4,5,3,5,5,4,5,4,3,3,2,2,2,2,3,1,6,2,1,2,4,3,2,6,1,1,6,1,Blocked,Female,18-24,No,Black and White,English ,Some college,30432
R_2rA9TrHqLQtZVb1,Finch,Oriole,Wood Warbler,Sparrow,Finch,Wood Warbler,5,5,4,6,2,3,2,2,5,4,1,4,3,5,2,3,4,5,4,3,3,5,4,3,2,6,6,6,1,6,6,1,3,5,2,5,Interleaved,Male,18-24,No,White,English,Some college,30612
R_TaVhEhU2zDI8h7r,Oriole,Oriole,Sparrow,Tyrant flycatcher,Finch,Sparrow,1,1,2,5,5,5,6,5,1,2,2,4,5,5,5,6,3,3,2,3,5,4,5,1,6,1,1,1,6,1,1,6,6,6,1,6,Blocked,Male,18-24,No,Asian,Chinese,Some college,31182
R_DFZiEDJua4tTV61,Oriole,Oriole,Wood Warbler,Tyrant flycatcher,Finch,Sparrow,5,6,3,4,3,2,1,1,1,2,2,1,5,6,4,4,2,2,2,2,2,3,4,1,5,1,3,2,6,3,4,6,3,3,5,3,Blocked,Female,18-24,No,Black,English,Some graduate school,31434
R_2i9hDh2WiJvg7ND,Jay / Magpie,Oriole,Sparrow,Tyrant flycatcher,Finch,Sparrow,4,4,2,5,3,3,3,4,3,3,2,5,3,6,6,6,2,2,2,2,3,1,2,2,1,1,2,1,6,1,1,6,1,1,6,6,Blocked,Female,18-24,No,Black,English,High school diploma,31148
R_20YAvmEf7a50JGV,Finch,Finch,Sparrow,Sparrow,Finch,Sparrow,1,1,1,6,1,2,2,2,1,2,4,1,1,2,2,6,1,1,1,1,1,1,3,1,5,1,1,1,6,1,1,6,3,3,5,2,Blocked,Female,18-24,No,White,English,Some college,31735
R_3ktRaHBjeUiNYuF,Finch,Oriole,Wood Warbler,Tyrant flycatcher,Finch,Wood Warbler,3,3,1,5,4,5,4,4,3,3,2,5,2,2,2,2,4,4,4,4,4,4,4,4,5,5,5,4,4,4,5,5,5,5,2,5,Interleaved,Female,18-24,No,Asian and White,English,Some college,31733
R_3n2fwTVM9B2AyR7,Finch,Oriole,Wood Warbler,Tyrant flycatcher,Finch,Sparrow,5,5,5,6,5,5,4,3,1,1,1,1,6,6,6,6,1,2,2,2,1,1,2,1,6,1,1,1,6,1,1,6,1,1,6,1,Blocked,Female,18-24,No,White,English,Some college,31737
R_p0eoRINXynRw3cd,Jay / Magpie,Oriole,Sparrow,Sparrow,Finch,Sparrow,5,5,5,3,2,3,3,2,3,5,4,4,4,5,4,3,4,4,4,4,3,3,4,3,4,5,5,3,4,5,5,2,3,3,4,3,Interleaved,Female,18-24,No,Asian,English,High school diploma,31747
R_9KQFdFZAYPMxdDP,Jay / Magpie,Oriole,Tyrant flycatcher,Tyrant flycatcher,Finch,Sparrow,1,1,1,3,4,5,5,5,2,2,2,2,5,5,4,5,3,2,3,3,4,4,5,4,6,1,1,1,6,1,1,6,6,6,1,6,Blocked,Female,18-24,No,White,English,High school diploma,31719
R_USWpYIaEHXwhidH,Jay / Magpie,Oriole,Wood Warbler,Sparrow,Finch,Sparrow,5,5,5,3,3,3,3,2,3,3,5,3,4,4,4,2,4,4,4,4,2,2,3,2,3,4,4,4,3,4,5,2,4,4,4,4,Interleaved,Female,18-24,No,Asian,English,High school diploma,31747
R_2yaxLjXqk5aK2bu,Jay / Magpie,Finch,Wood Warbler,Sparrow,Finch,Sparrow,2,2,4,1,3,4,5,4,4,4,4,6,2,5,5,1,4,3,2,3,2,1,2,1,5,2,2,2,6,1,1,6,3,1,6,1,Blocked,Male,18-24,No,DTS,German,High school diploma,31764
R_1OwAkSzZB5iAcUB,Oriole,Oriole,Tyrant flycatcher,Tyrant flycatcher,Finch,Sparrow,5,3,3,6,1,1,1,1,3,5,5,2,6,3,5,6,1,1,1,1,1,1,3,1,6,1,1,1,6,1,1,6,1,1,1,1,Blocked,Female,18-24,DTS,White,English,Some college,31765
R_3jSUPuCHcY2AZFQ,Jay / Magpie,Oriole,Sparrow,Tyrant flycatcher,Finch,Sparrow,1,1,1,1,4,4,4,4,3,6,6,6,6,6,6,5,2,2,2,2,4,2,3,2,6,1,1,1,6,1,1,6,4,1,6,1,Blocked,Female,18-24,DTS,White,English,Some college,31765
R_28Mzg6pO5tBLJ4b,Finch,Oriole,Wood Warbler,Tyrant flycatcher,Finch,Sparrow,4,4,2,5,3,4,3,5,3,2,4,2,3,5,3,3,2,3,3,4,2,2,5,1,5,1,2,1,5,2,1,5,3,2,5,1,Blocked,Male,18-24,No,White,English,High school diploma,31756
R_TsYrjxOOzDnegSZ,Finch,Oriole,Wood Warbler,Sparrow,Finch,Sparrow,4,3,1,4,3,2,2,2,4,2,2,2,6,6,1,6,1,1,1,1,2,1,3,1,6,1,1,1,6,1,1,6,4,3,5,2,Blocked,Female,18-24,No,White,English,High school diploma,31755
R_2Xp5Ek2QRXi41NX,Oriole,Oriole,Sparrow,Tyrant flycatcher,Finch,Sparrow,2,5,3,6,3,4,3,3,2,1,1,3,6,6,4,6,1,1,1,1,1,1,2,2,6,1,1,1,6,1,1,6,4,1,6,1,Blocked,Male,18-24,No,White,English,Some college,31777
R_1ltvlQ10TxSEctV,Oriole,Oriole,Wood Warbler,Wood Warbler,Finch,Sparrow,1,1,1,6,3,1,4,2,1,1,1,1,2,2,2,5,4,4,4,4,1,2,4,1,6,1,1,1,6,1,1,6,1,1,6,1,Blocked,Female,18-24,No,White,English ,Some college,31757
R_6r4V3xm0IsqiTJv,Jay / Magpie,Oriole,Sparrow,Tyrant flycatcher,Finch,Wood Warbler,2,2,1,4,3,3,3,3,2,2,1,2,1,1,1,3,3,3,3,3,3,1,2,3,6,1,1,2,5,1,1,5,1,1,6,1,Blocked,Female,18-24,No,White,English,High school diploma,31779
R_1jwvaqIljT3g6yl,Finch,Finch,Sparrow,Sparrow,Finch,Tyrant flycatcher,1,1,3,3,3,2,2,3,2,4,5,2,1,1,1,4,2,2,2,2,2,3,5,2,5,2,2,2,5,2,2,6,3,2,4,2,Blocked,Female,18-24,No,White,English,Some college,31798
R_3q7Fi3PMfl1g0bU,Jay / Magpie,Oriole,Sparrow,Sparrow,Finch,Sparrow,5,3,1,6,6,6,5,6,3,4,5,4,5,2,1,6,5,5,5,4,3,4,5,4,6,1,1,2,5,1,1,6,1,1,6,1,Blocked,Female,18-24,No,White,English,Some college,31800
R_sjveUetQJ7tQafn,Finch,Oriole,Wood Warbler,Tyrant flycatcher,Jay / Magpie,Sparrow,5,5,5,5,4,2,2,2,4,5,5,1,6,6,6,6,1,1,1,1,1,1,2,1,6,1,1,1,6,1,1,6,1,1,6,1,Blocked,Male,18-24,No,White,English,Some college,31772
R_1rrGcf95kYHdgfu,Finch,Oriole,Wood Warbler,Tyrant flycatcher,Finch,Wood Warbler,2,2,2,5,4,4,5,4,5,6,3,5,1,1,1,6,1,1,1,1,3,3,3,3,3,1,1,1,6,3,2,3,5,5,5,5,Blocked,Male,18-24,No,White,English,Some college,31766
R_1QAdjgMOaoEhxVa,Finch,Oriole,Sparrow,Tyrant flycatcher,Finch,Sparrow,1,3,3,6,4,4,4,4,1,1,6,1,4,4,6,1,2,2,2,2,2,2,5,2,6,1,1,1,6,3,3,6,2,2,6,2,Blocked,Female,18-24,No,White,English,High school diploma,31815
R_AjPd9m4Us0jcP7z,Finch,Oriole,Tyrant flycatcher,Tyrant flycatcher,Finch,Sparrow,3,2,2,5,2,3,2,2,3,2,2,2,2,2,2,6,2,2,2,2,3,3,4,2,5,3,2,2,5,1,1,5,3,3,5,2,Blocked,Male,18-24,Yes,Black,English ,High school diploma,31816
R_ULcmb26hffaVgVH,Finch,Oriole,Sparrow,Tyrant flycatcher,Finch,Sparrow,5,5,5,4,3,3,3,3,4,2,2,1,6,5,6,6,2,2,2,2,2,2,2,1,6,1,1,1,6,1,1,6,1,1,6,1,Blocked,Female,18-24,No,White,English,Some college,31818
R_3sbJ0tMhvAT3JWc,Finch,Finch,Wood Warbler,Tyrant flycatcher,Finch,Sparrow,5,2,3,2,4,4,3,3,2,5,5,3,4,4,3,5,3,3,2,3,2,3,5,2,5,2,1,1,5,2,2,5,2,2,5,2,Blocked,Female,18-24,No,White,English ,Some college,31806
R_3Jx5hOCjwVEuBiS,Oriole,Finch,Wood Warbler,Sparrow,Finch,Sparrow,2,3,4,3,3,3,5,4,3,3,3,4,6,6,6,4,2,2,1,2,4,3,4,2,6,1,2,1,5,2,1,6,4,4,2,2,Blocked,Female,18-24,No,White,English,High school diploma,31776
R_Z8dIR9r6nCXpOfv,Finch,Oriole,Wood Warbler,Tyrant flycatcher,Finch,Sparrow,3,3,2,6,2,2,2,3,2,5,4,3,5,3,2,6,2,3,3,1,2,3,5,3,6,1,1,2,6,2,6,6,1,1,5,1,Blocked,Female,18-24,Yes,White,English,High school diploma,31826
R_2c5fw02W8mgPzL4,Finch,Oriole,Sparrow,Tyrant flycatcher,Finch,Sparrow,4,2,1,4,3,4,2,3,1,1,2,2,4,2,1,5,2,3,2,2,1,1,5,1,6,1,2,3,4,1,1,6,4,3,6,1,Blocked,Female,18-24,No,Asian,English and Mandarin,High school diploma,31721
R_1KkfV0iwJwz3QZw,Jay / Magpie,Oriole,Wood Warbler,Tyrant flycatcher,Finch,Sparrow,3,4,1,4,5,3,2,3,1,5,6,2,6,4,1,6,1,1,1,2,1,3,6,1,6,1,1,2,5,1,1,6,3,2,6,2,Blocked,Female,18-24,No,White,English,Some college,31834
R_27pp8oWqN1EmscF,Finch,Oriole,Tyrant flycatcher,Sparrow,Finch,Sparrow,1,2,2,3,4,5,5,4,1,1,2,2,3,4,4,4,5,5,3,3,3,4,5,3,5,1,4,2,5,4,2,4,4,4,2,4,Interleaved,Female,18-24,No,White,English,Some college,31836
R_1DY0oxy6480k1YO,Oriole,Finch,Wood Warbler,Tyrant flycatcher,Jay / Magpie,Tyrant flycatcher,5,3,3,5,3,3,4,5,4,6,6,5,5,4,4,4,3,3,4,3,3,2,3,2,6,1,1,3,4,1,2,6,3,2,6,1,Blocked,Male,18-24,No,White,English,Some college,31839
R_1gI5bHuJEpF6lnS,Jay / Magpie,Oriole,Sparrow,Sparrow,Finch,Tyrant flycatcher,4,4,1,3,1,1,1,1,1,1,1,1,5,5,4,5,1,1,1,1,3,1,2,1,6,1,1,1,6,1,1,6,4,1,6,1,Blocked,Female,18-24,No,White,English,Some college,31837
